Ticker,Date,Cleaned_Headlines
TSM,2021-04-07,"[""cathie wood's ark invest posts fund sales for wednesday, apr. 7, 2021: tree, psti, tsm, ter, de, cat, snps, avav""]"
TSM,2021-04-09,"[""cathie wood's ark invest posts fund sales for thursday, apr. 8, 2021: psti, phr, syrs, tsm, snps, tree, adbe, avav""]"
TSM,2021-04-13,"[""cathie wood's ark invest posts fund sales for monday, apr. 12, 2021: si, syrs, phr, sq, de, snps, avav, ter, tsm, team, tree, grmn""]"
TSM,2021-04-14,"[""cathie wood's ark invest posts fund sales for tuesday, apr. 13, 2021: lspd, vrsk, tsm, splk, si, syrs, psti, phr, sq, pypl, snps, avav, ter, team"", 'tsm confirms power restoration at tainan science park following outage: reuters']"
TSM,2021-04-20,"[""cathie wood's ark invest posts fund sales for monday, apr. 19, 2021: tree, nvda, rhhby, regn, phr, nvs, pcar, spce, tsm, avav, xnlx, pstg, ice, snps, acic""]"
TSM,2021-04-21,"[""cathie wood's ark invest posts fund sales for tuesday, apr. 20, 2021: nvda, tree, nvs, rhhby, tmo, twtr, sq, roku, pcar, tsm, xlnx, pstg, ice""]"
TSM,2021-05-03,"['intel, tsm anticipate semiconductor crisis to extend beyond 2021: bloomberg']"
TSM,2021-05-24,"[""cadence design systems reveals 3rd gen 112g pam4 serdes ip under tsm's 5 technology for hyper data centers""]"
TSM,2021-05-26,['tsm starts production of a15 bionic chip for apple iphone 13: report']
TSM,2021-06-02,"['tsm initiates construction of $12b arizona chip factory', ""nxp to mass produce two automotive processors under tsm's 16 technology""]"
TSM,2021-06-22,"[""apple suppliers prioritize cupertino's chip orders, scale up manufacturing for iphone 13: report""]"
TSM,2021-07-06,"[""what we know about apple's next iphone""]"
TSM,2021-07-09,"[""tsm's june revenue climbs 23%""]"
TSM,2021-07-13,['tsm to announce additional fab expansion plans: digitimes asia']
TSM,2021-07-14,['apple said to be boosting iphone production in anticipated of high demand']
TSM,2021-07-30,"[""apple supplier tsm'cs crucial plant suffers from gas contamination: nikkei""]"
TSM,2021-08-04,['apple enlists more asian suppliers to ramp up iphone 13 production as launch schedule looms: report']
TSM,2021-08-24,"['samsung beats tsm, intel with latest move - read how?']"
TSM,2021-08-26,['higher chip prices to bite apple? iphone 13 may get more expensive as tsmc reportedly plans up to 20% price hikes']
TSM,2021-08-28,"[""how apple is addressing 'audio issues' with certain iphone 12 models""]"
TSM,2021-09-03,['tsm rival to build $9b chip plant in shanghai']
TSM,2021-09-30,['u.s. requests for confidential info from tsm taiwan semiconductor manufacturing could offend major u.s. vendors']
TSM,2021-10-08,"[""analyzing tsm's q3 revenue: bloomberg""]"
TSM,2021-10-22,['check out what whales are doing with tsm']
TSM,2021-11-03,"[""'apple likely to adopt tsmc n4 in next iphone chips'""]"
TSM,2021-11-09,"['tsm to build chip factory in taiwan, specialty technology fab in japan']"
TSM,2021-11-23,"['japan earmarks $5.2b for tsm, micron, other chip plants']"
TSM,2021-11-24,"[""'apple might be making its own iphone modem to ditch qualcomm for good'  report"", 'apple leans towards tsm to reduce reliance on qualcomm']"
TSM,2021-12-02,['check out what whales are doing with tsm']
